time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,4.30E-05
,,,,,,,,,
0,322.2028185,308.2924081,300.3398757,292.3493216,288.8416779,286.1520715,284.4635008,,
1.37,321.2377641,308.9408778,300.3337743,292.8366603,288.9296014,286.2604571,284.6465507,,
2.75,320.2970205,309.2239636,300.3407288,293.055034,288.9739502,286.3111776,284.7292366,,
4.12,319.3906989,309.4139619,300.3704779,293.2214872,289.0202631,286.3552932,284.7939217,,
5.49,318.5101565,309.5374957,300.4222162,293.3635399,289.0733835,286.398948,284.8508409,,
6.87,317.6479141,309.6054499,300.4904573,293.4916901,289.1327916,286.443594,284.9034258,,
8.24,316.8153375,309.6249242,300.5681839,293.6090977,289.1959993,286.4887951,284.9522313,,
9.61,316.0051007,309.6033714,300.6509704,293.7197429,289.2621113,286.5349012,284.9983348,,
10.99,315.2106344,309.5460188,300.7356659,293.8263035,289.330702,286.5822378,285.0424665,,
12.36,314.4426409,309.4586249,300.8181813,293.928475,289.400138,286.6300685,285.0842812,,
13.73,313.6945455,309.3450649,300.8970103,294.027816,289.4704788,286.6786615,285.124333,,
15.11,312.9604113,309.2078294,300.9711134,294.1254801,289.541949,286.7282929,285.1630847,,
16.48,312.2502354,309.0519761,301.0382966,294.2202884,289.613306,286.7781503,285.2001363,,
17.85,311.5580297,308.8792133,301.0983468,294.3130426,289.6849166,286.8284978,285.2359146,,
19.23,310.8783669,308.6903933,301.1511117,294.4043832,289.7571903,286.8796172,285.270792,,
20.6,310.2205598,308.490234,301.1955238,294.4929087,289.8289842,286.9306831,285.3043732,,
21.97,309.5791133,308.2791342,301.2318514,294.5791732,289.9007373,286.9819875,285.3370117,,
23.35,308.9490353,308.0569553,301.2602491,294.6636447,289.9728917,287.0338366,285.3690224,,
24.72,308.3389929,307.8282448,301.2803763,294.7449563,290.0443218,287.0854157,285.4000179,,
26.09,307.7439214,307.592588,301.2926085,294.8235893,290.1154713,287.1370435,285.4303009,,
27.47,307.1592122,307.3492305,301.2971425,294.8999545,290.1867736,287.1890453,285.4601459,,
28.84,306.59293,307.1026164,301.2941435,294.9728242,290.2571119,287.2406206,285.4891745,,
30.21,306.040394,306.8518131,301.2839285,295.0426562,290.3269205,287.2921032,285.5176535,,
31.59,305.4973397,306.5956758,301.2666215,295.1098344,290.3966173,287.3438277,285.5458286,,
32.96,304.971272,306.3385658,301.2427609,295.1733091,290.4651079,287.3950065,285.5733306,,
34.33,304.4578565,306.0792162,301.212538,295.233518,290.5328167,287.4459793,285.6004004,,
35.71,303.9531414,305.8162335,301.1759605,295.2908182,290.6001473,287.4970812,285.6272625,,
37.08,303.4641118,305.5538965,301.133853,295.3443472,290.6660447,287.5475384,285.6535558,,
38.45,302.9867492,305.2907226,301.0862618,295.394513,290.7309247,287.5976897,285.6795017,,
39.83,302.5173865,305.0251623,301.0330675,295.4416374,290.7951766,287.6478661,285.7053084,,
41.2,302.0625274,304.7614046,300.9753203,295.4850409,290.8578006,287.6973091,285.7306219,,
42.57,301.6184423,304.497831,300.9129234,295.5250906,290.9192024,287.7463536,285.755648,,
43.95,301.1817252,304.232798,300.8456356,295.5620642,290.9797561,287.7953228,285.7805816,,
45.32,300.7584335,303.9703957,300.7746866,295.5954559,291.0385285,287.8434777,285.8050747,,
46.69,300.3451026,303.7089247,300.6998484,295.6255822,291.0959125,287.8911464,285.8293205,,
48.07,299.9385669,303.4466905,300.6207698,295.6526707,291.1522646,287.9386429,285.8535028,,
49.44,299.5444698,303.1876757,300.538824,295.6763769,291.2067261,287.9852517,285.877279,,
50.81,299.1595906,302.9301388,300.4536671,295.6969614,291.2596732,288.0312922,285.9008316,,
52.19,298.7809852,302.6723646,300.3648522,295.7145974,291.3114423,288.0770684,285.9243349,,
53.56,298.4139132,302.4182213,300.2738662,295.7290896,291.3612539,288.1218918,285.9474518,,
54.93,298.0553788,302.1659529,300.1802658,295.7406392,291.4094639,288.1660723,285.9703557,,
56.31,297.7026423,301.9138453,300.0835225,295.7493641,291.4563852,288.2099023,285.9932123,,
57.68,297.3606069,301.6656469,299.9852126,295.7552048,291.5013203,288.2527242,286.0156905,,
59.05,297.0264848,301.4196072,299.8848086,295.7583031,291.5446013,288.2948374,286.0379557,,
60.43,296.697725,301.1740292,299.7817141,295.7587217,291.5865152,288.3365213,286.0601661,,
61.8,296.3789003,300.9325378,299.6775741,295.7565249,291.6264471,288.3771529,286.0819973,,
63.17,296.0674148,300.6934026,299.5717913,295.7517957,291.6647024,288.4170192,286.1036076,,
64.55,295.7608923,300.4549547,299.4637134,295.7445437,291.7015401,288.4563861,286.1251481,,
65.92,295.4635986,300.2206938,299.3550369,295.734945,291.7364273,288.4946674,286.1463023,,
67.29,295.1731156,299.9889201,299.2451072,295.7230265,291.7696404,288.532137,286.1672219,,
68.67,294.887229,299.7580013,299.1332268,295.7087468,291.8014091,288.569046,286.1880515,,
70.04,294.6099193,299.5313106,299.0211294,295.692383,291.8312807,288.6048474,286.2084833,,
71.41,294.338933,299.3071868,298.9081139,295.6739088,291.8595011,288.6398006,286.2286632,,
72.79,294.0722061,299.0840397,298.7934475,295.6532353,291.8862699,288.6741413,286.2487291,,
74.16,293.8134537,298.8651164,298.678888,295.6307299,291.9112121,288.7073628,286.2683837,,
75.53,293.5605752,298.6488,298.5636982,295.6063167,291.9345424,288.7397092,286.2877666,,
76.91,293.3116457,298.4335461,298.4471175,295.5798628,291.9564294,288.7714,286.3070095,,
78.28,293.0701339,298.2224772,298.3309179,295.5518164,291.9765734,288.8019701,286.3258267,,
79.65,292.8340807,298.014024,298.2143339,295.5220555,291.995157,288.8316473,286.3443518,,
81.03,292.6016903,297.8066909,298.0965848,295.490407,292.0123185,288.8606342,286.3627098,,
82.4,292.3762024,297.6034776,297.9794473,295.4573906,292.0278295,288.8885077,286.3806281,,
83.77,292.1557893,297.4028649,297.8621352,295.4228427,292.0418413,288.9154788,286.398234,,
85.15,291.9387751,297.2034074,297.7438536,295.3865532,292.0544617,288.9417329,286.415646,,
86.52,291.7281862,297.0079845,297.6263764,295.3491054,292.0655306,288.9668889,286.4326053,,
87.89,291.522317,296.8151287,297.5089028,295.3102973,292.0751679,288.9911403,286.4492331,,
89.27,291.3196031,296.6234456,297.3906292,295.2698858,292.0834522,289.0146551,286.4656409,,
90.64,291.1228724,296.4356972,297.27332,295.22851,292.0902876,289.037094,286.4815851,,
92.02,290.9291446,296.2491253,297.1553109,295.1856186,292.0957986,289.0587867,286.4972928,,
93.39,290.7411231,296.0664153,297.038357,295.1418837,292.0999302,289.0794218,286.5125307,,
94.76,290.5572869,295.8861867,296.921645,295.0970482,292.1027522,289.099163,286.5274089,,
96.14,290.3762401,295.7071304,296.8043659,295.0508212,292.1042963,289.1181487,286.5420271,,
97.51,290.2005097,295.5318201,296.6882571,295.0039196,292.1045655,289.1361082,286.5561687,,
98.88,290.0286753,295.3589273,296.5725032,294.9560575,292.103601,289.1531875,286.5699365,,
100.26,289.8594327,295.1871936,296.4562968,294.9069197,292.1014079,289.1695071,286.5834228,,
101.63,289.6951449,295.0190842,296.3413537,294.8572615,292.0980437,289.1848364,286.5964283,,
103,289.5344849,294.8533221,296.2268597,294.8067717,292.093522,289.1993035,286.6090485,,
104.38,289.3762337,294.6886985,296.112012,294.7551138,292.0878229,289.2130112,286.6213679,,
105.75,289.2226018,294.5275742,295.9985012,294.703076,292.0810544,289.2257681,286.6332051,,
107.13,289.0712644,294.3675715,295.8846949,294.6499373,292.073143,289.2377682,286.6447299,,
108.5,288.9243355,294.2109835,295.7722653,294.5965052,292.0642286,289.2488454,286.6557729,,
109.87,288.7806296,294.0566167,295.6604071,294.542433,292.0542826,289.2590979,286.6664169,,
111.25,288.6390573,293.9033425,295.54833,294.4873544,292.0432459,289.2686001,286.6767333,,
112.62,288.5015969,293.7533559,295.437677,294.4321015,292.031303,289.2772231,286.6865709,,
114,288.3661692,293.6044405,295.3268502,294.3759011,292.018304,289.2851018,286.6960718,,
115.37,288.2346672,293.4587279,295.2174719,294.3195995,292.0044615,289.2921313,286.7050974,,
116.74,288.1060308,293.3151048,295.1087514,294.2628221,291.9897084,289.298381,286.7137171,,
118.12,287.9792854,293.1725188,294.9999163,294.2051796,291.9739505,289.3038978,286.7219887,,
119.49,287.856203,293.0330097,294.8925565,294.1475361,291.9574396,289.3086113,286.729792,,
120.86,287.7357921,292.8955102,294.7858927,294.0895036,291.9400874,289.3125745,286.7371883,,
122.24,287.6171408,292.7590118,294.6791646,294.0306815,291.9217808,289.315818,286.7442273,,
123.61,287.5019084,292.6254661,294.5739288,293.9719486,291.9028075,289.3183053,286.7508073,,
124.98,287.3891671,292.4938505,294.4694183,293.9129051,291.8830596,289.3200726,286.7569815,,
126.36,287.2780635,292.3631988,294.3648863,293.8531414,291.8624063,289.3211357,286.7627911,,
127.73,287.1701517,292.2353783,294.2618551,293.7935475,291.8411683,289.3214895,286.7681532,,
129.11,287.0638012,292.1084964,294.1588271,293.7332764,291.8190566,289.32115,286.773147,,
130.48,286.9604998,291.984366,294.0573015,293.6732239,291.7964124,289.3201327,286.7777018,,
131.85,286.8594167,291.8620352,293.9565339,293.6129753,291.7730982,289.3184483,286.7818568,,
133.23,286.7597872,291.7406051,293.8558017,293.5521095,291.7489567,289.3160881,286.7856397,,
134.6,286.6630055,291.6218099,293.7565687,293.4915287,291.7243573,289.3130969,286.7889976,,
135.97,286.5682936,291.5047381,293.6581054,293.4308114,291.6991465,289.3094708,286.7919617,,
137.35,286.4749354,291.3885288,293.5597043,293.3695318,291.6731528,289.3051873,286.7945515,,
138.72,286.3842376,291.2748414,293.4627938,293.3085958,291.6467715,289.3003192,286.796732,,
140.1,286.2948306,291.1619912,293.3659608,293.2471314,291.6196357,289.2948063,286.7985376,,
141.47,286.2079663,291.0515894,293.2706099,293.186046,291.5921568,289.2887392,286.799945,,
142.84,286.122947,290.9427882,293.1760374,293.1249104,291.5641574,289.282091,286.8009715,,
144.22,286.0391302,290.8347868,293.0815619,293.0632936,291.5354449,289.2748175,286.8016236,,
145.59,285.9576897,290.7291268,292.9885526,293.0021032,291.5064523,289.2670347,286.8018949,,
146.97,285.8773961,290.6242421,292.8956512,292.9404607,291.476773,289.2586397,286.8017927,,
148.34,285.7993742,290.5216295,292.8042032,292.8792731,291.4468533,289.2497649,286.801322,,
149.71,285.722998,290.4205007,292.7135316,292.818107,291.4164957,289.2403619,286.8004867,,
151.09,285.6476905,290.320111,292.6229816,292.756529,291.3854893,289.2303666,286.7992804,,
152.46,285.5745068,290.2218929,292.5338636,292.6954439,291.3542989,289.2199345,286.7977244,,
153.84,285.5023428,290.1243902,292.4448747,292.6339719,291.3224841,289.2089236,286.7957997,,
155.21,285.4322097,290.0289943,292.3573021,292.5730152,291.2905206,289.1975037,286.7935381,,
156.58,285.3635453,289.9349718,292.2704956,292.512139,291.2581934,289.1856071,286.7909308,,
157.96,285.2958312,289.8416302,292.1838272,292.4509104,291.2252767,289.1731517,286.7879591,,
159.33,285.2300166,289.7503012,292.0985499,292.3902268,291.1922612,289.1603281,286.7846702,,
160.7,285.1655743,289.6602829,292.0140295,292.3296539,291.1589228,289.1470576,286.7810479,,
162.08,285.102018,289.5709119,291.9296539,292.2687599,291.1250278,289.1332483,286.7770663,,
163.45,285.0402386,289.4834633,291.8466423,292.2084364,291.0910803,289.1191102,286.7727875,,
164.82,284.9797416,289.397265,291.7643767,292.14825,291.0568481,289.1045542,286.768188,,
166.2,284.9200707,289.3116816,291.6822607,292.0877713,291.0220906,289.0894792,286.7632351,,
167.57,284.8620626,289.2279341,291.6014802,292.0278844,290.9873234,289.0741132,286.7580051,,
168.95,284.8048428,289.1447807,291.5208516,291.9677226,290.9520506,289.0582411,286.7524261,,
170.32,284.749214,289.0634076,291.441539,291.9081651,290.9167949,289.0421023,286.7465833,,
171.69,284.6947311,288.9831893,291.3629509,291.848782,290.8813126,289.0255923,286.740442,,
173.07,284.6409835,288.9035347,291.2845167,291.7891484,290.8453532,289.0085956,286.7339586,,
174.44,284.5887252,288.8255801,291.2073685,291.7301348,290.8094483,288.9913673,286.7272316,,
175.81,284.5375384,288.7487264,291.1309303,291.6713143,290.7733485,288.9737945,286.7202196,,
177.19,284.4870374,288.672407,291.054647,291.6122653,290.7367983,288.9557538,286.712873,,
178.56,284.4379308,288.5977109,290.9796191,291.553849,290.7003372,288.9375153,286.7053027,,
179.94,284.3894788,288.5235303,290.9047459,291.4952179,290.6634427,288.9188213,286.6974029,,
181.31,284.3423616,288.4509236,290.8311073,291.4372266,290.6266589,288.8999511,286.6892927,,
182.68,284.2962028,288.379333,290.7581531,291.3794539,290.589728,288.8807785,286.6809205,,
184.06,284.2506548,288.3082307,290.6853527,291.3214852,290.5523879,288.8611686,286.6722267,,
185.43,284.206357,288.2386312,290.6137559,291.2641646,290.5151884,288.8414136,286.6633421,,
186.81,284.1626423,288.1695025,290.5423118,291.2066595,290.4775951,288.8212329,286.6541415,,
188.18,284.1201246,288.101831,290.4720504,291.1498069,290.440161,288.8009271,286.6447629,,
189.55,284.0784646,288.0350969,290.4024461,291.0931929,290.4026223,288.7803584,286.635145,,
190.93,284.0373489,287.9688084,290.3329923,291.0364102,290.3647115,288.7593814,286.6252196,,
192.3,283.9973547,287.9039113,290.26469,290.980285,290.3269858,288.7383077,286.6151351,,
193.68,283.9578802,287.8394435,290.1965365,290.9240008,290.2889021,288.7168371,286.6047488,,
195.05,283.9194798,287.776325,290.1295137,290.8683762,290.2510195,288.6952879,286.5942158,,
196.42,283.8818476,287.7140713,290.0631199,290.813005,290.2130693,288.6735125,286.5834659,,
197.79,283.8449668,287.6526686,289.9973494,290.7578897,290.1750585,288.6515179,286.5725038,,
199.17,283.80856,287.5916642,289.9317232,290.7026332,290.1367156,288.6291482,286.5612514,,
200.54,283.7731388,287.5319289,289.8671868,290.6480384,290.098603,288.6067342,286.5498763,,
201.92,283.7381703,287.4725773,289.8027922,290.5933102,290.0601706,288.5839556,286.5382169,,
203.29,283.7041459,287.4144563,289.739467,290.5392439,290.0219816,288.5611491,286.5264463,,
204.66,283.670795,287.3571204,289.6767368,290.4854434,289.9837636,288.5381568,286.5144853,,
206.04,283.6378667,287.3001468,289.6141444,290.4315207,289.9452434,288.5148152,286.5022486,,
207.41,283.6058239,287.2443489,289.5525913,290.3782586,289.9069849,288.4914688,286.4899179,,
208.79,283.5741847,287.1888997,289.4911732,290.3248811,289.868435,288.4677831,286.4773174,,
210.16,283.5433942,287.134591,289.4307746,290.2721628,289.8301581,288.4441074,286.4646339,,
211.53,283.5132074,287.0810064,289.3709427,290.2197171,289.7918799,288.4202765,286.4517809,,
212.91,283.4833975,287.027751,289.3112414,290.1671651,289.7533262,288.3961207,286.4386668,,
214.28,283.4543838,286.9755852,289.2525303,290.1152695,289.7150607,288.3719958,286.4254858,,
215.65,283.4259358,286.9241094,289.1943693,290.0636491,289.6768088,288.347733,286.4121473,,
217.03,283.3978398,286.8729442,289.1363341,290.0119308,289.6382961,288.3231592,286.3985565,,
218.4,283.370491,286.8228204,289.0792606,289.9608648,289.6000855,288.2986359,286.3849141,,
219.78,283.3434784,286.7729954,289.0223097,289.9097061,289.5616234,288.2738106,286.371025,,
221.15,283.3171823,286.7241807,288.9663017,289.8591965,289.5234717,288.2490483,286.3570943,,
222.52,283.2913938,286.6760027,288.9108162,289.8089647,289.4853557,288.2241746,286.3430257,,
223.9,283.2659193,286.6281064,288.8554488,289.7586472,289.4470017,288.199012,286.3287188,,
225.27,283.2411175,286.5811761,288.8009965,289.7089734,289.4089694,288.1739299,286.3143847,,
226.64,283.2167915,286.5348525,288.7470508,289.6595779,289.3709845,288.1487514,286.2999239,,
228.02,283.1927589,286.4887944,288.6932182,289.610103,289.3327741,288.1232963,286.2852331,,
229.39,283.169358,286.44366,288.6402737,289.5612659,289.2948955,288.0979383,286.2705288,,
230.77,283.1462374,286.3987807,288.5874391,289.5123533,289.2567993,288.0723118,286.2556,,
232.14,283.1237227,286.354798,288.535475,289.4640741,289.2190409,288.0467927,286.2406665,,
233.51,283.1016355,286.3113754,288.4839915,289.4160724,289.1813474,288.0212,286.2256241,,
234.89,283.0798101,286.2681933,288.432613,289.3680007,289.1434476,287.9953505,286.2103652,,
236.26,283.0585541,286.2258687,288.382079,289.3205553,289.1058937,287.9696231,286.1951144,,
