time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,4.40E-05
,,,,,,,,,
0,332.1407821,313.8552574,302.5968723,294.5259646,289.2143222,285.9041925,284.5329607,,
1.37,330.901964,314.6368854,302.9494698,294.8318344,289.4360118,286.1191751,284.6847575,,
2.75,329.6941518,314.9790304,303.1172389,294.9737576,289.539899,286.2186327,284.7545069,,
4.12,328.5303897,315.2123971,303.2693088,295.0943687,289.6305334,286.3024539,284.8121762,,
5.49,327.3995973,315.3677529,303.423819,295.2104037,289.7198563,286.38231,284.8659977,,
6.87,326.2921816,315.4567108,303.5822497,295.3262873,289.8104369,286.4611994,284.918185,,
8.24,325.2227608,315.4866082,303.7394331,295.4414287,289.9011253,286.5386087,284.9684847,,
9.61,324.1819506,315.4658061,303.8934074,295.5570927,289.9924618,286.6153132,285.0174237,,
10.99,323.1613361,315.4002625,304.0425544,295.6742652,290.0850031,286.6919503,285.0653873,,
12.36,322.174688,315.2967036,304.182586,295.791185,290.1773249,286.7674543,285.1116996,,
13.73,321.2135787,315.1597945,304.3130222,295.9084876,290.2700388,286.8424096,285.1567331,,
15.11,320.270396,314.9925537,304.4335634,296.0267119,290.3637808,286.9173747,285.2008311,,
16.48,319.357995,314.8011834,304.5417012,296.1437556,290.4571497,286.991275,285.2433912,,
17.85,318.4686915,314.5878384,304.6378929,296.2600513,290.5507761,287.0646638,285.284781,,
19.23,317.5955192,314.3536074,304.7224864,296.3759966,290.6452881,287.1380777,285.325339,,
20.6,316.7504469,314.1043924,304.7942189,296.4894768,290.7392458,287.2104579,285.3645298,,
21.97,315.9264179,313.8407498,304.8538524,296.6009245,290.8332507,287.2823425,285.4027053,,
23.35,315.1170211,313.5625483,304.9019031,296.7107407,290.9278934,287.3542536,285.4401883,,
24.72,314.3333912,313.2755309,304.937966,296.8169799,291.0216957,287.4251507,285.4764903,,
26.09,313.5690222,312.9792308,304.9627799,296.9201315,291.1152288,287.4955563,285.5119398,,
27.47,312.8179945,312.6727385,304.9767955,297.0206321,291.2090495,287.5659765,285.5468392,,
28.84,312.0906659,312.3616936,304.9802271,297.1167817,291.3016708,287.6353858,285.5807334,,
30.21,311.3810231,312.0449642,304.9736473,297.2091144,291.3936455,287.7042889,285.6139264,,
31.59,310.6835886,311.7211381,304.9573448,297.298087,291.4855067,287.7731728,285.6466993,,
32.96,310.0079992,311.3957635,304.9320017,297.3822672,291.5757939,287.841026,285.6786209,,
34.33,309.3486871,311.0672724,304.8979751,297.4622016,291.66505,287.9083341,285.7099716,,
35.71,308.7005764,310.7339267,304.8553624,297.5383396,291.7537914,287.9755638,285.7410127,,
37.08,308.0726354,310.4011771,304.8052102,297.6095147,291.840614,288.0417201,285.7713295,,
38.45,307.4597025,310.0671701,304.7476553,297.6762538,291.9260535,288.1072695,285.8011813,,
39.83,306.8570681,309.72996,304.6826056,297.7389736,292.0106112,288.172659,285.8308108,,
41.2,306.2730812,309.3948867,304.6113971,297.7967611,292.0929619,288.2369147,285.8598154,,
42.57,305.7029518,309.0599146,304.5339609,297.8500981,292.1736319,288.3004853,285.8884352,,
43.95,305.1423064,308.7229706,304.4500312,297.8993503,292.2531052,288.3637986,285.9168963,,
45.32,304.59892,308.3892702,304.3611757,297.9438406,292.3301514,288.4259077,285.9448051,,
46.69,304.0683435,308.0566672,304.2671418,297.983989,292.4052819,288.4872447,285.9723851,,
48.07,303.5465126,307.7230181,304.1675114,298.0200977,292.4789593,288.5482186,285.9998478,,
49.44,303.0406702,307.3934014,304.064037,298.0517074,292.5500581,288.6079161,286.0268066,,
50.81,302.5466811,307.0656119,303.9563074,298.0791657,292.619069,288.6667526,286.0534708,,
52.19,302.0607657,306.7374751,303.8437731,298.1027045,292.686428,288.7251188,286.080039,,
53.56,301.5896733,306.4139236,303.7283342,298.1220639,292.7511206,288.7821407,286.1061315,,
54.93,301.1295581,306.0927294,303.6094439,298.1375137,292.8136105,288.8382169,286.1319453,,
56.31,300.6769035,305.7717164,303.4864429,298.1492129,292.8743026,288.8937196,286.1576675,,
57.68,300.2380008,305.4556637,303.3613465,298.1570829,292.932296,288.9478189,286.1829257,,
59.05,299.8092715,305.1423474,303.2334949,298.1613146,292.9880221,289.0008963,286.2079063,,
60.43,299.3874419,304.829611,303.1021371,298.161994,293.0418512,289.0533047,286.2327863,,
61.8,298.9783782,304.522075,302.9693775,298.1592068,293.0929957,289.1042627,286.2572015,,
63.17,298.578749,304.2175393,302.8344628,298.1530661,293.1418509,289.1541335,286.2813291,,
64.55,298.1855053,303.913882,302.6965672,298.1435873,293.1887489,289.2032499,286.3053364,,
65.92,297.8041188,303.6155624,302.5578616,298.131004,293.2330145,289.2508823,286.3288696,,
67.29,297.4314865,303.3204184,302.4175163,298.1153547,293.2750032,289.2973744,286.352097,,
68.67,297.0647676,303.0263736,302.2746457,298.0965875,293.3150075,289.3430383,286.3751773,,
70.04,296.7090672,302.737725,302.1314679,298.075069,293.3524609,289.3871984,286.3977682,,
71.41,296.3614941,302.452359,301.9870923,298.050767,293.3876778,289.4301781,286.42003,,
72.79,296.0194003,302.1682522,301.8405856,298.0235668,293.4209093,289.4722674,286.442113,,
74.16,295.6875503,301.8895399,301.6941975,297.9939538,293.4516944,289.5128468,286.4636883,,
75.53,295.3632492,301.6141642,301.546989,297.96183,293.4803046,289.5522179,286.4849085,,
76.91,295.0440278,301.3401601,301.3979908,297.9270224,293.5069494,289.5906481,286.5059153,,
78.28,294.7343339,301.0715028,301.2494699,297.8901223,293.531269,289.6275751,286.5263953,,
79.65,294.4316546,300.806195,301.1004502,297.850971,293.5534914,289.6632776,286.5464931,,
81.03,294.1336867,300.5423337,300.949936,297.8093422,293.5737852,289.6979998,286.5663421,,
82.4,293.8445836,300.2837367,300.8001998,297.7659212,293.5918861,289.7312367,286.5856457,,
83.77,293.5620013,300.0284704,300.6502385,297.7204935,293.6079796,289.7632438,286.6045405,,
85.15,293.2837908,299.774696,300.4990374,297.6727847,293.6221934,289.7942415,286.6231515,,
86.52,293.0138313,299.5260771,300.3488653,297.6235626,293.6343543,289.823782,286.6412004,,
87.89,292.7499358,299.2807458,300.1986997,297.5725627,293.6446056,289.8520969,286.6588158,,
89.27,292.4900986,299.0369286,300.0475143,297.5194667,293.6530355,289.8793825,286.6761135,,
90.64,292.2379438,298.7981386,299.8975657,297.4651152,293.6595563,289.9052479,286.6928353,,
92.02,291.9896513,298.560867,299.746727,297.4087848,293.6642985,289.9300755,286.7092181,,
93.39,291.7486852,298.3285288,299.5972426,297.3513592,293.6672284,289.9535116,286.7250177,,
94.76,291.5130956,298.0993676,299.4480732,297.2925013,293.6684221,289.975747,286.7403478,,
96.14,291.2810933,297.8717189,299.2981856,297.2318301,293.6679052,289.9969383,286.7553092,,
97.51,291.0559162,297.6488544,299.1498008,297.1702871,293.6657208,290.0167863,286.769679,,
98.88,290.8357434,297.4290842,299.001877,297.1074976,293.6619069,290.0354577,286.7835622,,
100.26,290.6189037,297.2108084,298.8533827,297.0430488,293.6564535,290.053085,286.7970497,,
101.63,290.4084242,296.9971601,298.7065108,296.9779319,293.6494754,290.0694227,286.8099413,,
103,290.202604,296.7865153,298.5602212,296.9117391,293.640974,290.0846132,286.8223323,,
104.38,289.9998815,296.5773375,298.4134883,296.8440298,293.6309062,290.0987655,286.8343037,,
105.75,289.8030877,296.372626,298.2684722,296.7758373,293.619453,290.111686,286.8456787,,
107.13,289.6092442,296.169359,298.1230875,296.7062173,293.6064824,290.123575,286.8566201,,
108.5,289.4210586,295.9704493,297.9794705,296.636228,293.592217,290.1342725,286.8669665,,
109.87,289.2370118,295.7743801,297.8365924,296.5654154,293.5766021,290.1438811,286.876797,,
111.25,289.0557083,295.5797171,297.693444,296.4933001,293.559543,290.1524719,286.8861755,,
112.62,288.8796812,295.3892477,297.5521236,296.4209719,293.5413207,290.1599336,286.8949645,,
114,288.7062678,295.2001566,297.4105905,296.3474187,293.5217027,290.1663885,286.9032911,,
115.37,288.5378912,295.0151499,297.2709164,296.2737484,293.5010062,290.171757,286.9110337,,
116.74,288.3731939,294.8328131,297.1320913,296.1994707,293.4791258,290.1761033,286.918254,,
118.12,288.2109277,294.6518099,296.993129,296.1240765,293.4559211,290.1794623,286.9249989,,
119.49,288.053361,294.474729,296.8560596,296.0486963,293.4317601,290.1817995,286.9311706,,
120.86,287.8992238,294.3002148,296.7198874,295.9728225,293.4065096,290.1831573,286.9368204,,
122.24,287.7473486,294.1269871,296.5836422,295.8959314,293.3800043,290.1835496,286.9419847,,
123.61,287.599859,293.957522,296.4493108,295.8191719,293.3526586,290.1829855,286.9465896,,
124.98,287.4555671,293.7905211,296.3159138,295.7420215,293.3243139,290.181486,286.9506758,,
126.36,287.3133803,293.6247579,296.1824979,295.6639449,293.2947817,290.179045,286.9542691,,
127.73,287.1752872,293.462601,296.0510059,295.5861048,293.2645189,290.1757127,286.9573194,,
129.11,287.0392009,293.301649,295.9195265,295.507395,293.2331122,290.1714558,286.9598734,,
130.48,286.907025,293.144201,295.7899723,295.4289852,293.2010447,290.1663511,286.9618966,,
131.85,286.7776958,292.9890489,295.6613935,295.3503337,293.1681192,290.1603859,286.963412,,
133.23,286.6502349,292.835052,295.5328678,295.2708909,293.1341129,290.1535224,286.964428,,
134.6,286.5264256,292.6844094,295.4062626,295.1918342,293.0995451,290.1458753,286.9649332,,
135.98,286.4043975,292.534889,295.2797338,295.1120347,293.0639373,290.1373481,286.9649382,,
137.35,286.2858584,292.3886255,295.1551184,295.032673,293.0278307,290.1280796,286.9644467,,
138.72,286.1698555,292.2444955,295.0314984,294.9531947,292.9909949,290.1180258,286.9634642,,
140.1,286.0555113,292.1014384,294.9079846,294.873041,292.9531776,290.1071198,286.9619821,,
141.47,285.9444266,291.9614961,294.7863682,294.793395,292.9149508,290.0955346,286.9600261,,
142.84,285.8357088,291.8235934,294.6657515,294.713697,292.8760662,290.0832088,286.9575916,,
144.22,285.7285361,291.6867152,294.5452652,294.6333848,292.8362558,290.0700591,286.9546601,,
145.59,285.6244091,291.5528145,294.4266552,294.5536418,292.7961191,290.0562908,286.9512785,,
146.96,285.5224917,291.4208625,294.309044,294.4739044,292.7553917,290.0418259,286.9474323,,
148.34,285.4220137,291.2898872,294.191583,294.3936088,292.7137916,290.0265657,286.9430932,,
149.71,285.3243823,291.1617574,294.0759727,294.3139358,292.6719427,290.0107458,286.9383291,,
151.09,285.2281239,291.0345732,293.9605234,294.2337389,292.6292549,289.9941497,286.9330757,,
152.46,285.1345869,290.9101492,293.8469057,294.1541964,292.586367,289.9770321,286.9274145,,
