time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,4.38E-05
,,,,,,,,,
0,318.4536363,308.2846265,300.3398761,292.3492942,288.841673,286.1520654,284.4634905,,
1.37,317.5984882,308.5266523,300.3336392,292.8358768,288.9294572,286.2602816,284.646256,,
2.75,316.7648259,308.6290089,300.3370025,293.0539401,288.9736934,286.3109086,284.728818,,
4.12,315.9614478,308.6855436,300.3551593,293.22012,289.0198235,286.3549077,284.793391,,
5.49,315.1805933,308.70128,300.3874615,293.3618043,289.0727199,286.3984302,284.8502111,,
6.87,314.4156042,308.6789318,300.430238,293.4892534,289.131886,286.4429341,284.9027255,,
8.24,313.676582,308.6228721,300.478778,293.6053627,289.1948455,286.4879882,284.9515104,,
9.61,312.95706,308.5373058,300.5299706,293.7138763,289.2606961,286.5339431,284.9976627,,
10.99,312.2512367,308.4253008,300.581509,293.81729,289.3289926,286.5811251,285.0419311,,
12.36,311.5686549,308.292029,300.6305799,293.9152686,289.3980785,286.6288027,285.0839816,,
13.73,310.9035061,308.1398382,300.6760172,294.0093405,289.467978,286.6772454,285.1243779,,
15.11,310.2505382,307.9700971,300.7169652,294.1006464,289.5388744,286.7267305,285.1635919,,
16.48,309.6186689,307.7875649,300.7520194,294.1881681,289.6094973,286.7764492,285.2012195,,
17.85,309.0025959,307.5930394,300.7809463,294.2727529,289.6801772,286.8266642,285.2376906,,
19.23,308.3975074,307.3866977,300.8035364,294.3550715,289.751286,286.8776551,285.2733825,,
20.6,307.8117132,307.1730206,300.8192684,294.4339558,289.8216753,286.9285955,285.3078852,,
21.97,307.240338,306.9518387,300.8282575,294.5099994,289.8917602,286.9797724,285.3415536,,
23.34,306.6829664,306.7242811,300.8305229,294.5831659,289.9614499,287.031111,285.3744688,,
24.72,306.1352806,306.4896211,300.8260972,294.6539086,290.0311637,287.0829185,285.4069345,,
26.09,305.6048343,306.2521381,300.8151865,294.7211496,290.0998107,287.1343809,285.4385421,,
27.46,305.0872431,306.010921,300.7979623,294.7853607,290.1678207,287.1858161,285.4695834,,
28.84,304.5785127,305.7648607,300.7744396,294.8469302,290.2356072,287.2375459,285.5003265,,
30.21,304.085674,305.518134,300.7451869,294.904926,290.3021142,287.2887716,285.5303676,,
31.59,303.6011994,305.2676881,300.7100199,294.9601629,290.3682405,287.3401951,285.560182,,
32.96,303.131792,305.0176377,300.6696963,295.0118181,290.4329585,287.3910288,285.5893696,,
34.33,302.6735924,304.7666052,300.6242314,295.0602904,290.4966845,287.4416063,285.618176,,
35.7,302.226305,304.5149765,300.5738752,295.1055761,290.5593548,287.4918899,285.6466255,,
37.08,301.7864947,304.261259,300.5184581,295.1479754,290.6213543,287.5422071,285.6749435,,
38.45,301.3602567,304.0094421,300.459029,295.186887,290.6817268,287.5917945,285.7027382,,
39.83,300.9410959,303.7561328,300.3949634,295.2228996,290.7412995,287.6413425,285.7304317,,
41.2,300.5348253,303.5052543,300.3274241,295.2555188,290.7991588,287.6901015,285.7576365,,
42.57,300.1381189,303.2551946,300.2561881,295.2850507,290.8556949,287.7384016,285.7845661,,
43.95,299.747938,303.0043424,300.1809164,295.3117165,290.911263,287.7865609,285.8114239,,
45.32,299.3696985,302.7565164,300.1029124,295.3351742,290.9650194,287.833853,285.8378289,,
46.69,299.0003088,302.510058,300.0218464,295.3556764,291.0173371,287.8806019,285.8639832,,
