time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,4.37E-05
,,,,,,,,,
0,312.7046237,305.4040161,299.8998669,294.3453918,291.2115532,288.7823298,287.403062,,
1.37,311.9820495,305.6070363,299.8933609,294.6182606,291.2903367,288.9003342,287.5580619,,
2.75,311.2774314,305.6911935,299.8955268,294.7404665,291.3295547,288.9553364,287.628298,,
4.12,310.5982791,305.7341147,299.9088806,294.8344975,291.3688122,289.0026352,287.6842035,,
5.49,309.9380651,305.7400574,299.9320028,294.9155275,291.411861,289.048486,287.7341306,,
6.87,309.2911748,305.7119107,299.9617268,294.9892186,291.4584768,289.0943932,287.7806343,,
8.24,308.6661622,305.6540764,299.9943948,295.0571154,291.5070056,289.1399489,287.8238489,,
9.61,308.0575685,305.5704372,300.0275837,295.1212941,291.5570122,289.18554,287.8644665,,
10.99,307.4604948,305.4637594,300.0594759,295.183127,291.6083389,289.2314908,287.9029395,,
12.36,306.8830209,305.33877,300.0880621,295.2422871,291.659876,289.2770962,287.9388373,,
13.73,306.3202402,305.1974983,300.1124562,295.2995532,291.7117414,289.3226313,287.9725569,,
15.11,305.7677141,305.0411044,300.1319846,295.355481,291.7641358,289.368359,288.0044278,,
16.48,305.2329936,304.8738739,300.145826,295.4093058,291.8161652,289.4135441,288.0340939,,
17.85,304.7115966,304.6964475,300.1538079,295.4614122,291.8681022,289.4584474,288.0618986,,
19.23,304.1994542,304.508928,300.1557445,295.5120887,291.9202327,289.5033249,288.0881287,,
20.6,303.7036032,304.3153322,300.1515486,295.5605032,291.9717181,289.5474637,288.1125047,,
21.97,303.2199202,304.1154543,300.1412868,295.6069208,292.0228582,289.5911339,288.1353195,,
23.35,302.7446547,303.9087606,300.1249163,295.6515465,292.0739438,289.6345983,288.1568154,,
24.72,302.2843583,303.6991117,300.1028212,295.6936268,292.1241572,289.6771824,288.176769,,
26.09,301.8352236,303.4857844,300.0750861,295.7333956,292.1737928,289.7191637,288.1954236,,
27.47,301.3937824,303.2678573,300.0416553,295.7710302,292.2231285,289.760807,288.2129803,,
28.84,300.9661338,303.0490829,300.003237,295.805911,292.2713725,289.8014779,288.2292582,,
30.21,300.5487538,302.8284158,299.959841,295.8382584,292.3188093,289.8414529,288.2444576,,
31.59,300.138429,302.6046962,299.9113366,295.8682318,292.3657021,289.8809912,288.258743,,
32.96,299.7408381,302.3815837,299.8586672,295.8953606,292.4112999,289.9194973,288.271968,,
34.33,299.352714,302.1578317,299.8017361,295.9198469,292.4558778,289.9572399,288.284296,,
35.71,298.9710754,301.9321348,299.7403185,295.9418268,292.4996845,289.9944669,288.2958604,,
37.08,298.6012106,301.7080615,299.675535,295.9609779,292.5420242,290.0306213,288.3065427,,
38.45,298.2400875,301.4842414,299.6071783,295.9774742,292.5831617,290.0659593,288.3164751,,
39.83,297.884937,301.259284,299.5349293,295.9914204,292.6233309,290.1007147,288.3257645,,
