time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,3.32E-05
,,,,,,,,,
0,322.0175984,304.5365679,295.9662384,290.7746464,288.0922954,286.6507034,285.5919622,,
1.37,320.3771024,305.4495366,296.3102841,291.0308142,288.2188609,286.6895184,285.7001127,,
2.75,318.8202188,305.8546253,296.4717997,291.1487532,288.2774938,286.7083369,285.7489775,,
4.12,317.3558926,306.1354743,296.6131797,291.2455246,288.3266374,286.7264856,285.7864166,,
5.5,315.9554217,306.3300878,296.7569397,291.3373313,288.374424,286.7467729,285.8188798,,
6.87,314.6335773,306.4477615,296.9036155,291.4268042,288.4219176,286.7690323,285.8479182,,
8.24,313.3753158,306.4994496,297.052358,291.5159263,288.4698815,286.7930601,285.8747011,,
9.62,312.1680418,306.4933699,297.2014062,291.6059124,288.5187751,286.8187053,285.8998998,,
10.99,311.0256164,306.4373762,297.345828,291.695732,288.5679244,286.8453302,285.9234481,,
12.36,309.9358184,306.338543,297.4843449,291.7861323,288.6177016,286.8729185,285.9457312,,
13.74,308.8882621,306.2018794,297.6159776,291.8777394,288.6684939,286.9015306,285.9670423,,
15.11,307.8953897,306.0347663,297.7373597,291.9690746,288.719578,286.9306348,285.987185,,
16.48,306.9469209,305.8410277,297.8484276,292.0605648,288.7713264,286.9603427,286.0064111,,
17.86,306.0340614,305.6230976,297.949163,292.1525802,288.8241224,286.990801,286.0249342,,
19.23,305.1678629,305.3877152,298.03768,292.2434522,288.8771884,287.0215055,286.0425607,,
20.61,304.3336282,305.1345932,298.1150743,292.3341498,288.9312739,287.0528513,286.0596176,,
21.98,303.5415465,304.8701178,298.1802141,292.4230012,288.9855574,287.0843403,286.0759219,,
23.35,302.7836653,304.594865,298.233836,292.5103207,289.0403779,287.1161608,286.0916599,,
24.73,302.0531412,304.3087917,298.2764522,292.5963956,289.096078,287.1485164,286.1069973,,
26.1,301.3589856,304.0178516,298.307774,292.6796713,289.1517759,287.18091,286.1217654,,
27.47,300.6943124,303.7215716,298.3285396,292.7605013,289.2077901,287.2135499,286.1361271,,
28.85,300.053182,303.4191221,298.3392228,292.8391976,289.26444,287.2466534,286.1502307,,
30.22,299.4435626,303.116095,298.340133,292.9144013,289.3208061,287.2797188,286.1639163,,
31.6,298.855291,302.8091338,298.3317705,292.9870207,289.3776073,287.3132069,286.1774258,,
32.97,298.2957084,302.5036108,298.3147479,293.0558458,289.4339144,287.346611,286.1906025,,
34.34,297.7593455,302.1981085,298.2895276,293.1212856,289.4900326,287.3801513,286.2035814,,
35.72,297.2414707,301.8911068,298.2563283,293.1836776,289.5462615,287.4140515,286.2164891,,
37.09,296.7485811,301.5876685,298.2161126,293.2420398,289.6016806,287.4477968,286.2291697,,
38.47,296.2725144,301.2839028,298.1687678,293.297169,289.6569946,287.4818554,286.2418373,,
39.84,295.8192613,300.9846751,298.1154365,293.3482323,289.7113019,287.5157083,286.2543346,,
